  AM		Parousies	Project1	Project2	Project3	Thema1	Thema2					
2026201		11111111	   10          10		   10		  10	  10
2020999		10111101	   10		    9		    8		   7	  10
2025789		10001111	    9		    8		   10		  10	   9
2028981		11111011 	   10		    9		   10		   8	   8
2018982		11111111	    8		    7		    9		   8	   8
2016983		11011011	    4		    7		    9		   8	   8
2019984		11111111	    4		    4		    9		   8	   8
2022984		10111101	   10		    7		    7		   8	   8
2023480		11100111	    5		    4		    4		   4	   5
2017400		11111111	    4		    4		    4		   4	   5
2021207		10111111	   10              10		   10		   8	   8
2025799		10001111	    9		    8		   10		   8	   9
2013799		10101111	    9		    8		   10		  10	   9
