  AM		Parousies	Project1	Project2	Project3	Thema1	Thema2					
2025201		11111111111	    8          	    9		    4		  10	  10
2021999		10111101111	   10		    9		    8		   7	  10
2018789		10001111111	    9		    8		   10		  10	   9
2022981		11111011011 	   10		    9		   10		   8	   8
2016982		11111111111	    8		    7		    9		   8	   8
2016983		11011011111	    4		    7		    9		   8	   8
2019984		11111111111	    4		    4		    9		   8	  10
2022984		10111101101	   10		    7		    7		   8	   8
2023480		11100111111	    5		    4		    4		   4	   5
2017400		11111111011	    4		    4		    4		   7	   5
2021207		10111111011	    4          	    8		   10		   5	   8
2025799		10001111111	    9		    8		   10		  10	   9
2015111		11111111011	   10          	   10		   10		  10	  10
